Epoch=001,Acc=49.000%
Epoch=002,Acc=64.000%
Epoch=003,Acc=64.000%
Epoch=004,Acc=75.000%
Epoch=005,Acc=73.000%
Epoch=006,Acc=72.000%
Epoch=007,Acc=77.000%
Epoch=008,Acc=77.000%
Epoch=009,Acc=79.000%
Epoch=010,Acc=77.000%
Epoch=011,Acc=75.000%
Epoch=012,Acc=80.000%
Epoch=013,Acc=80.000%
Epoch=014,Acc=69.000%
Epoch=015,Acc=79.000%
Epoch=016,Acc=82.000%
Epoch=017,Acc=82.000%
Epoch=018,Acc=79.000%
Epoch=019,Acc=83.000%
Epoch=020,Acc=81.000%
Epoch=021,Acc=83.000%
Epoch=022,Acc=83.000%
Epoch=023,Acc=77.000%
Epoch=024,Acc=82.000%
Epoch=025,Acc=83.000%
Epoch=026,Acc=81.000%
Epoch=027,Acc=84.000%
Epoch=028,Acc=84.000%
Epoch=029,Acc=83.000%
Epoch=030,Acc=84.000%
Epoch=031,Acc=81.000%
Epoch=032,Acc=83.000%
Epoch=033,Acc=82.000%
Epoch=034,Acc=78.000%
Epoch=035,Acc=80.000%
Epoch=036,Acc=78.000%
Epoch=037,Acc=81.000%
Epoch=038,Acc=80.000%
Epoch=039,Acc=82.000%
Epoch=040,Acc=82.000%
Epoch=041,Acc=83.000%
Epoch=042,Acc=86.000%
Epoch=043,Acc=79.000%
Epoch=044,Acc=84.000%
Epoch=045,Acc=83.000%
Epoch=046,Acc=83.000%
Epoch=047,Acc=81.000%
Epoch=048,Acc=83.000%
Epoch=049,Acc=81.000%
Epoch=050,Acc=82.000%
Epoch=051,Acc=83.000%
Epoch=052,Acc=81.000%
Epoch=053,Acc=82.000%
Epoch=054,Acc=81.000%
Epoch=055,Acc=83.000%
Epoch=056,Acc=79.000%
Epoch=057,Acc=83.000%
Epoch=058,Acc=81.000%
Epoch=059,Acc=83.000%
Epoch=060,Acc=82.000%
Epoch=061,Acc=84.000%
Epoch=062,Acc=81.000%
Epoch=063,Acc=79.000%
Epoch=064,Acc=85.000%
Epoch=065,Acc=86.000%
Epoch=066,Acc=77.000%
Epoch=067,Acc=85.000%
Epoch=068,Acc=80.000%
Epoch=069,Acc=76.000%
Epoch=070,Acc=82.000%
Epoch=071,Acc=86.000%
Epoch=072,Acc=86.000%
Epoch=073,Acc=79.000%
Epoch=074,Acc=80.000%
Epoch=075,Acc=77.000%
Epoch=076,Acc=85.000%
Epoch=077,Acc=85.000%
Epoch=078,Acc=81.000%
Epoch=079,Acc=75.000%
Epoch=080,Acc=83.000%
Epoch=081,Acc=85.000%
Epoch=082,Acc=81.000%
Epoch=083,Acc=82.000%
Epoch=084,Acc=86.000%
Epoch=085,Acc=85.000%
Epoch=086,Acc=83.000%
Epoch=087,Acc=85.000%
Epoch=088,Acc=84.000%
Epoch=089,Acc=82.000%
Epoch=090,Acc=84.000%
Epoch=091,Acc=84.000%
Epoch=092,Acc=82.000%
Epoch=093,Acc=84.000%
Epoch=094,Acc=73.000%
Epoch=095,Acc=78.000%
Epoch=096,Acc=85.000%
Epoch=097,Acc=84.000%
Epoch=098,Acc=85.000%
Epoch=099,Acc=83.000%
Epoch=100,Acc=77.000%
